203 Balanced report with cost ,,,,,,,,,,,,
Warehouse:,,,2022-07-14,,,,,,,,,
Balance As At:,,,2022-07-14,,,,,,,,,
Product Code,,Product Description,,Brand,UOM,Cost,Price,Reserved,,,,
,,,,,,,,CS,EA,,Total,
ACFINE,,Aik Cheong Coffee Powder (Fine) 1kg x 10EA,,Aik Cheong Others,10.0,-99999.0,10.0,0,0.0,,0.0,
AC000097S,,Aik Cheong 3 in 1 Coffee Mix 720s (S),,Aik Cheong Others,720.0,-99999.0,0.0,0,0.0,,0.0,
AC000318S,,Aik Cheong 3 in 1 White Coffee Tarik Old Town 300s,,Aik Cheong Others,300.0,-99999.0,0.0,0,0.0,,0.0,
AC000554S,,Aik Cheong Instant The Tarik 300s (S),,Aik Cheong Others,300.0,-99999.0,0.0,0,0.0,,0.0,
ACFINE-S,,Aik Cheong Coffee Powder (Fine) 1kg x 10EA (S),,Aik Cheong Others,10.0,-99999.0,0.0,0,0.0,,0.0,
ACGRANULAR-S,,Aik Cheong Coffee Powder (Granular) 1kg x 10EA (S),,Aik Cheong Others,10.0,-99999.0,0.0,0,0.0,,0.0,
AC000363,,Aik Cheong Hot Chocolate Malt Drink (TP) 40g x 15s x 10EA,,Aik Cheong Others,10.0,17.2,26.4,0,0.0,,0.0,
AC003876,,Aik Cheong Latte - Cafe Art 25g x 12s x 20EA,,Aik Cheong Others,20.0,8.2,11.0,0,0.0,,0.0,
AC005788,,Aik Cheong Teh Tarik Cheesy 25g x 12s x 20EA,,Aik Cheong Others,20.0,8.8,13.2,0,0.0,,0.0,
AC006617,,AC Matcha Cafe Art Travel Pack 1kg x 10EA,,Aik Cheong Others,10.0,22.0,26.0,0,0.0,,0.0,
AC007270,,AIK CHEONG INSTANT NUTS OATMEAL CEREAL (40g x 10s) x 20EA,,Aik Cheong Others,20.0,7.8,13.2,0,0.0,,0.0,
AC007287,,AIK CHEONG INSTANT FRUITS OATMEAL CEREAL (40g x 10s) x 20EA,,Aik Cheong Others,20.0,7.8,13.2,0,0.0,,0.0,
AC007867,,AC Instant Teh Tarik Travel Pack (40g x 3s) x 8EA x 6,,Aik Cheong Others,48.0,-99999.0,2.45,0,0.0,,0.0,
AC007904,,AC Matcha Cafe Art Travel Pack (40g x 3s) x 8EA  x 6,,Aik Cheong Others,48.0,-99999.0,2.45,0,0.0,,0.0,
AC007928,,AC Hot Chocolate Malt Drink Travel Pack (40g x 3s) x 8EA x 6,,Aik Cheong Others,48.0,-99999.0,2.45,0,0.0,,0.0,
AC007942,,AC White Cappuccino Cafe Art Travel Pack (40g x 3s) x 8EA x 6,,Aik Cheong Others,48.0,-99999.0,2.45,0,0.0,,0.0,
AC000295,,Aik Cheong White Cappuccino 25g x 12s x 20EA,,Aik Cheong Others,20.0,9.25,12.0,2,0.0,,40.0,
AC000325P,,Aik Cheong Teh Tarik Combo 4 in 1 40g x 15s x 20EA,,Aik Cheong Others,20.0,11.2,13.9,0,0.0,,0.0,
AC000554,,Aik Cheong Instant Teh Tarik 40g x 15s x 20EA,,Aik Cheong Others,20.0,11.2,13.9,2,18.0,,58.0,
AC000554P,,Aik Cheong Instant Teh Tarik FOC MUG 40g x 15s x 20EA,,Aik Cheong Others,20.0,11.2,13.9,0,0.0,,0.0,
,Friday 15 July 2022,,,,,,,,,Page 1 of,, 2
Product Code,,Product Description,Brand,UOM,Cost,Price,Reserved,,,,
,,,,,,,CS,EA,,Total,
AC000851,,Aik Cheong Hot Chocolate Malt Drink 40g x 15s x 20EA,Aik Cheong Others,20.0,11.35,13.9,2,0.0,,40.0,
AC004200,,Aik Cheong Matcha - Cafe Art 25g x 12s x 20EA,Aik Cheong Others,20.0,10.4,13.2,0,0.0,,0.0,
AC000523P,,Aik Cheong Vita Flakes (Original) 30g x 20s x 20EA,Aik Cheong Others,20.0,8.2,11.0,0,0.0,,0.0,
AC004545,,Aik Cheong Vita Flakes (Matcha Spirulina) 30g x 20s x 20EA,Aik Cheong Others,20.0,9.4,12.5,0,0.0,,0.0,
AC006594,,AC Chocolate Cafe Art  1kg x 10EA,Aik Cheong Others,10.0,17.0,22.5,0,0.0,,0.0,
,Friday 15 July 2022,,,,,,,,Page 2 of,, 2
